X,ID,FC,logFC,t,P.Value,adj.P.Val,B,Regulation,
TFDP2,8633,1.817416025,0.861888705,4.26682312,3.06E-05,0.008319455,2.20527091,Up,
MT1G,5297,1.810855655,0.856671552,4.6610163,5.75E-06,0.003384023,3.70679841,Up,
H1F0,3669,1.809079287,0.855255639,4.439530103,1.49E-05,0.005448902,2.849954969,Up,
MCM4,5002,1.791970912,0.841547219,3.404338258,0.000801731,0.049971413,-0.688926891,Up,
AREG,494,1.787988129,0.838337158,4.501913318,1.14E-05,0.004662567,3.087910153,Up,
NEK2,5555,1.775836925,0.828499105,4.36350659,2.05E-05,0.006642656,2.563605478,Up,
MT1H,5298,1.767337158,0.821577292,3.602841172,0.000397434,0.037049905,-0.07253266,Up,
TPX2,8945,1.755102507,0.811555294,4.107999721,5.82E-05,0.011641956,1.63101926,Up,
BTG3,957,1.751050908,0.808221028,4.846665526,2.52E-06,0.001906848,4.450321687,Up,
RAB13,6926,1.74835888,0.806001353,3.586267435,0.000421905,0.037527046,-0.125165486,Up,
HSPA6,3963,-1.74470859,-0.80298609,-3.463381504,0.00065277,0.046734796,-0.508788598,Down,
CDC20,1429,1.738120326,0.79752796,3.600269492,0.000401141,0.037049905,-0.08071333,Up,
EMR3,10019,-1.723545007,-0.785378972,-3.408616351,0.000789951,0.049971413,-0.675966428,Down,
CASC5,9914,1.720050294,0.78245075,3.479580276,0.000616686,0.045695108,-0.458890504,Up,
MT1E,10193,1.719125288,0.781674691,3.781210234,0.000206175,0.024825345,0.50718541,Up,
SCD,7514,1.717170953,0.780033674,4.303364159,2.63E-05,0.007544287,2.339929235,Up,
GINS2,3350,1.717150139,0.780016187,3.613405623,0.00038254,0.036848989,-0.038873215,Up,
RCBTB2,7099,-1.711957811,-0.775647149,-3.933052886,0.000115714,0.018577418,1.019573754,Down,
E2F8,2528,1.707187655,0.771621649,4.214832082,3.79E-05,0.009688306,2.015306186,Up,
STAT4,8337,1.703657758,0.768635547,3.438032567,0.00071323,0.049266989,-0.586461397,Up,
NUAK2,9890,-1.699453255,-0.76507068,-4.669656805,5.53E-06,0.003384023,3.740897026,Down,
CKS1B,1673,1.698316067,0.764104978,3.959623966,0.000104406,0.017285647,1.110996897,Up,
CCNE2,1324,1.694106761,0.760524795,3.647830535,0.00033757,0.035325135,0.071401896,Up,
RAD51AP1,6990,1.69272311,0.759346001,3.623680308,0.000368559,0.036841996,-0.006054834,Up,
TNFAIP3,8843,1.689169014,0.756313688,3.683188365,0.0002966,0.03239975,0.185608453,Up,
CD302,1381,-1.685753974,-0.753393999,-3.572337164,0.000443563,0.038284314,-0.169239976,Down,
MCM6,5004,1.680935763,0.749264593,3.589286009,0.000417345,0.03747619,-0.115595208,Up,
NDUFS5,5535,1.665922276,0.736321093,3.463749373,0.000651929,0.046734796,-0.507657702,Up,
RPL10,7308,1.665922276,0.736321093,3.463749373,0.000651929,0.046734796,-0.507657702,Up,
BUB1B,966,1.66401814,0.734671161,3.424047436,0.000748791,0.04928068,-0.629098685,Up,
MT1X,10253,1.656363975,0.72801973,3.455930607,0.000670023,0.047406725,-0.531671323,Up,
CDKN3,1498,1.656038874,0.727736539,3.821867241,0.000176931,0.022590495,0.642693617,Up,
NNMT,5657,1.639379086,0.713149498,3.769230838,0.000215629,0.025365174,0.467495517,Up,
COX6C,1877,1.632719132,0.707276633,3.515721876,0.000542807,0.042291068,-0.346824937,Up,
LSM5,4788,1.632679977,0.707242035,3.59070786,0.000415213,0.03747619,-0.111084854,Up,
PSMG1,6796,1.61136663,0.688284784,3.599602545,0.000402108,0.037049905,-0.082834096,Up,
CENPA,1531,1.61052914,0.687534764,3.488323672,0.000597994,0.045259638,-0.431872702,Up,
KIF4A,4473,1.606955613,0.68433008,4.667222055,5.59E-06,0.003384023,3.731283558,Up,
MANSC1,4884,-1.602971708,-0.680748963,-3.613524513,0.000382375,0.036848989,-0.038493933,Down,
MCM2,4999,1.587676089,0.66691661,3.613823827,0.000381961,0.036848989,-0.03753901,Up,
MT1F,10252,1.586137191,0.665517561,3.506659289,0.000560509,0.043351523,-0.375020999,Up,
RPA3,7296,1.580904996,0.660750672,3.584239618,0.000424995,0.037527046,-0.131590665,Up,
COX7B,1881,1.579459006,0.659430493,3.644979327,0.000341097,0.035325135,0.062234016,Up,
MYL6B,5389,1.573597435,0.654066511,3.781938881,0.000205613,0.024825345,0.509603031,Up,
PCNT,6079,1.570552722,0.651272374,3.834354257,0.000168769,0.022590495,0.684561087,Up,
ATAD2,632,1.570473941,0.651200004,3.571805281,0.00044441,0.038284314,-0.170919856,Up,
SDC4,7555,1.568786768,0.649649272,5.525460529,1.02E-07,0.000432354,7.354794777,Up,
WBP5,9412,1.567237106,0.64822346,5.381813574,2.06E-07,0.000436188,6.716730967,Up,
TARS,8507,1.553974748,0.63596306,3.668093966,0.000313481,0.033551937,0.136736567,Up,
CCL20,1304,1.551727547,0.633875271,4.133542795,5.26E-05,0.011142276,1.722154727,Up,
CLEC7A,1716,-1.540111552,-0.623034851,-3.855440931,0.00015579,0.022268084,0.755526744,Down,
RAD51,6989,1.539943035,0.622876984,3.864952016,0.000150251,0.022268084,0.787644168,Up,
JUN,10149,1.53824014,0.621280745,4.625950895,6.70E-06,0.003549781,3.568930564,Up,
FEN1,2985,1.53377019,0.617082335,3.429988762,0.000733485,0.049266989,-0.611003732,Up,
AURKA,743,1.530608052,0.614104894,3.533933836,0.000508808,0.041155221,-0.289970144,Up,
FRAT1,3134,-1.528384865,-0.612007876,-3.591522995,0.000413996,0.03747619,-0.108498404,Down,
SNRPG,8110,1.522894516,0.606816016,3.418144644,0.000764293,0.049683721,-0.647048878,Up,
KIF2C,4469,1.519612861,0.603703827,3.90634213,0.00012825,0.019694692,0.928195635,Up,
POLE2,6472,1.518289756,0.602447146,3.47261739,0.000631961,0.046383826,-0.480363793,Up,
UBE2C,9180,1.515035857,0.599351939,3.818554974,0.000179158,0.022599528,0.631607567,Up,
AURKB,745,1.514161677,0.59851926,4.514785994,1.08E-05,0.004589432,3.13734414,Up,
CENPF,1535,1.500048393,0.585009044,3.629801657,0.00036046,0.036725344,0.013535845,Up,
